,date,neighbourhood,property type,daily rate,annual rate
34,2015-11,Haight Ashbury,House,$140.00,51100.0
35,2015-11,Haight Ashbury,Apartment,$85.00,31025.0
36,2015-11,Haight Ashbury,Condominium,$175.00,63875.0
37,2015-11,Haight Ashbury,Apartment,$110.00,40150.0
38,2015-11,Haight Ashbury,Apartment,$195.00,71175.0
39,2015-11,Haight Ashbury,Apartment,$145.00,52925.0
40,2015-11,Haight Ashbury,Apartment,$195.00,71175.0
41,2015-11,Haight Ashbury,Apartment,$250.00,91250.0
42,2015-11,Haight Ashbury,Apartment,$490.00,178850.0
43,2015-11,Haight Ashbury,Apartment,$220.00,80300.0
44,2015-11,Haight Ashbury,Apartment,$175.00,63875.0
45,2015-11,Haight Ashbury,Apartment,$174.00,63510.0
46,2015-11,Haight Ashbury,Apartment,$350.00,127750.0
47,2015-11,Haight Ashbury,Apartment,$160.00,58400.0
48,2015-11,Haight Ashbury,Apartment,$420.00,153300.0
49,2015-11,Haight Ashbury,Apartment,$99.00,36135.0
50,2015-11,Haight Ashbury,Bungalow,$197.00,71905.0
51,2015-11,Haight Ashbury,Apartment,$220.00,80300.0
52,2015-11,Haight Ashbury,Apartment,$249.00,90885.0
53,2015-11,Haight Ashbury,Apartment,$169.00,61685.0
54,2015-11,Haight Ashbury,Apartment,$165.00,60225.0
55,2015-11,Haight Ashbury,Apartment,$170.00,62050.0
56,2015-11,Haight Ashbury,Apartment,$145.00,52925.0
57,2015-11,Haight Ashbury,Apartment,$277.00,101105.0
58,2015-11,Haight Ashbury,Apartment,$220.00,80300.0
59,2015-11,Haight Ashbury,House,"$2,000.00",730000.0
60,2015-11,Haight Ashbury,Apartment,$150.00,54750.0
61,2015-11,Haight Ashbury,Apartment,$84.00,30660.0
62,2015-11,Haight Ashbury,Apartment,$350.00,127750.0
63,2015-11,Haight Ashbury,Apartment,$200.00,73000.0
64,2015-11,Haight Ashbury,Apartment,$80.00,29200.0
65,2015-11,Haight Ashbury,Apartment,$100.00,36500.0
66,2015-11,Haight Ashbury,House,$125.00,45625.0
67,2015-11,Haight Ashbury,Apartment,$100.00,36500.0
68,2015-11,Haight Ashbury,Apartment,$95.00,34675.0
69,2015-11,Haight Ashbury,Apartment,$250.00,91250.0
70,2015-11,Haight Ashbury,Apartment,$400.00,146000.0
71,2015-11,Haight Ashbury,Apartment,$300.00,109500.0
72,2015-11,Haight Ashbury,Apartment,$600.00,219000.0
73,2015-11,Haight Ashbury,Apartment,$275.00,100375.0
74,2015-11,Haight Ashbury,Apartment,$90.00,32850.0
75,2015-11,Haight Ashbury,Apartment,$275.00,100375.0
76,2015-11,Haight Ashbury,Apartment,$200.00,73000.0
77,2015-11,Haight Ashbury,House,$600.00,219000.0
78,2015-11,Haight Ashbury,Apartment,$140.00,51100.0
79,2015-11,Haight Ashbury,Apartment,$240.00,87600.0
80,2015-11,Haight Ashbury,Apartment,$225.00,82125.0
81,2015-11,Haight Ashbury,House,$250.00,91250.0
82,2015-11,Haight Ashbury,House,$350.00,127750.0
83,2015-11,Haight Ashbury,House,$480.00,175200.0
84,2015-11,Haight Ashbury,Apartment,"$10,000.00",3650000.0
85,2015-11,Haight Ashbury,Apartment,$99.00,36135.0
86,2015-11,Haight Ashbury,Apartment,$120.00,43800.0
87,2015-11,Haight Ashbury,Apartment,$129.00,47085.0
88,2015-11,Haight Ashbury,Apartment,$180.00,65700.0
89,2015-11,Haight Ashbury,Apartment,$125.00,45625.0
90,2015-11,Haight Ashbury,Apartment,$90.00,32850.0
91,2015-11,Haight Ashbury,Apartment,$71.00,25915.0
92,2015-11,Haight Ashbury,Apartment,$120.00,43800.0
93,2015-11,Haight Ashbury,Apartment,$187.00,68255.0
94,2015-11,Haight Ashbury,House,$425.00,155125.0
95,2015-11,Haight Ashbury,House,$225.00,82125.0
96,2015-11,Haight Ashbury,Apartment,$150.00,54750.0
97,2015-11,Haight Ashbury,Apartment,$100.00,36500.0
98,2015-11,Haight Ashbury,Condominium,$425.00,155125.0
99,2015-11,Haight Ashbury,House,$150.00,54750.0
100,2015-11,Haight Ashbury,Apartment,$100.00,36500.0
101,2015-11,Haight Ashbury,House,$95.00,34675.0
102,2015-11,Haight Ashbury,House,$125.00,45625.0
103,2015-11,Haight Ashbury,Apartment,$150.00,54750.0
104,2015-11,Haight Ashbury,Apartment,$275.00,100375.0
105,2015-11,Haight Ashbury,House,$230.00,83950.0
106,2015-11,Haight Ashbury,Apartment,$211.00,77015.0
107,2015-11,Haight Ashbury,Condominium,$349.00,127385.0
108,2015-11,Haight Ashbury,House,$180.00,65700.0
109,2015-11,Haight Ashbury,Apartment,$250.00,91250.0
110,2015-11,Haight Ashbury,Apartment,$390.00,142350.0
111,2015-11,Haight Ashbury,Apartment,$150.00,54750.0
112,2015-11,Haight Ashbury,House,$599.00,218635.0
113,2015-11,Haight Ashbury,Bungalow,$795.00,290175.0
114,2015-11,Haight Ashbury,Apartment,$250.00,91250.0
115,2015-11,Haight Ashbury,Apartment,$375.00,136875.0
116,2015-11,Haight Ashbury,House,$100.00,36500.0
117,2015-11,Haight Ashbury,Apartment,$115.00,41975.0
118,2015-11,Haight Ashbury,Apartment,$350.00,127750.0
119,2015-11,Haight Ashbury,Apartment,$250.00,91250.0
120,2015-11,Haight Ashbury,Apartment,$205.00,74825.0
121,2015-11,Haight Ashbury,Apartment,$115.00,41975.0
122,2015-11,Haight Ashbury,House,$175.00,63875.0
123,2015-11,Haight Ashbury,Apartment,$116.00,42340.0
124,2015-11,Haight Ashbury,Apartment,$300.00,109500.0
125,2015-11,Haight Ashbury,Apartment,$150.00,54750.0
126,2015-11,Haight Ashbury,Apartment,$139.00,50735.0
127,2015-11,Haight Ashbury,Apartment,$150.00,54750.0
128,2015-11,Haight Ashbury,Apartment,$299.00,109135.0
129,2015-11,Haight Ashbury,House,$300.00,109500.0
130,2015-11,Haight Ashbury,Apartment,$170.00,62050.0
131,2015-11,Haight Ashbury,Apartment,$190.00,69350.0
132,2015-11,Haight Ashbury,Apartment,$250.00,91250.0
133,2015-11,Haight Ashbury,House,$260.00,94900.0
134,2015-11,Haight Ashbury,House,$120.00,43800.0
135,2015-11,Haight Ashbury,Apartment,$192.00,70080.0
136,2015-11,Haight Ashbury,Apartment,$155.00,56575.0
137,2015-11,Haight Ashbury,House,$650.00,237250.0
138,2015-11,Haight Ashbury,Apartment,$495.00,180675.0
139,2015-11,Haight Ashbury,Apartment,$90.00,32850.0
140,2015-11,Haight Ashbury,Apartment,$399.00,145635.0
141,2015-11,Haight Ashbury,Apartment,$250.00,91250.0
142,2015-11,Haight Ashbury,House,$195.00,71175.0
143,2015-11,Haight Ashbury,House,$69.00,25185.0
144,2015-11,Haight Ashbury,Apartment,$171.00,62415.0
145,2015-11,Haight Ashbury,Apartment,$500.00,182500.0
146,2015-11,Haight Ashbury,Apartment,$400.00,146000.0
147,2015-11,Haight Ashbury,Apartment,$282.00,102930.0
148,2015-11,Haight Ashbury,Apartment,$295.00,107675.0
149,2015-11,Haight Ashbury,Apartment,$400.00,146000.0
150,2015-11,Haight Ashbury,Apartment,$200.00,73000.0
151,2015-11,Haight Ashbury,Apartment,$200.00,73000.0
152,2015-11,Haight Ashbury,House,$225.00,82125.0
153,2015-11,Haight Ashbury,Bed & Breakfast,$120.00,43800.0
154,2015-11,Haight Ashbury,Apartment,$225.00,82125.0
155,2015-11,Haight Ashbury,House,$375.00,136875.0
156,2015-11,Haight Ashbury,Apartment,$500.00,182500.0
157,2015-11,Haight Ashbury,Apartment,$465.00,169725.0
158,2015-11,Haight Ashbury,Apartment,$99.00,36135.0
159,2015-11,Haight Ashbury,Apartment,"$1,950.00",711750.0
160,2015-11,Haight Ashbury,Apartment,$79.00,28835.0
161,2015-11,Haight Ashbury,Apartment,$300.00,109500.0
162,2015-11,Haight Ashbury,Apartment,$171.00,62415.0
163,2015-11,Haight Ashbury,Apartment,$191.00,69715.0
164,2015-11,Haight Ashbury,Apartment,$365.00,133225.0
165,2015-11,Haight Ashbury,Condominium,$172.00,62780.0
166,2015-11,Haight Ashbury,Apartment,$264.00,96360.0
167,2015-11,Haight Ashbury,Apartment,$500.00,182500.0
168,2015-11,Haight Ashbury,House,$120.00,43800.0
169,2015-11,Haight Ashbury,Apartment,$100.00,36500.0
170,2015-11,Haight Ashbury,House,$125.00,45625.0
171,2015-11,Haight Ashbury,Apartment,$119.00,43435.0
172,2015-11,Haight Ashbury,Apartment,$245.00,89425.0
173,2015-11,Haight Ashbury,Apartment,$125.00,45625.0
174,2015-11,Haight Ashbury,Apartment,$85.00,31025.0
175,2015-11,Haight Ashbury,Apartment,$600.00,219000.0
176,2015-11,Haight Ashbury,Apartment,$125.00,45625.0
177,2015-11,Haight Ashbury,Apartment,$190.00,69350.0
178,2015-11,Haight Ashbury,Apartment,$500.00,182500.0
179,2015-11,Haight Ashbury,House,$400.00,146000.0
180,2015-11,Haight Ashbury,Apartment,$140.00,51100.0
181,2015-11,Haight Ashbury,Apartment,$90.00,32850.0
182,2015-11,Haight Ashbury,Apartment,$200.00,73000.0
183,2015-11,Haight Ashbury,Bed & Breakfast,$175.00,63875.0
184,2015-11,Haight Ashbury,Apartment,$443.00,161695.0
185,2015-11,Haight Ashbury,Loft,$200.00,73000.0
186,2015-11,Haight Ashbury,Apartment,$300.00,109500.0
187,2015-11,Haight Ashbury,Apartment,$300.00,109500.0
188,2015-11,Haight Ashbury,House,$350.00,127750.0
189,2015-11,Haight Ashbury,Apartment,$89.00,32485.0
190,2015-11,Haight Ashbury,House,$160.00,58400.0
191,2015-11,Haight Ashbury,House,$50.00,18250.0
192,2015-11,Haight Ashbury,Apartment,$80.00,29200.0
193,2015-11,Haight Ashbury,Apartment,"$1,250.00",456250.0
194,2015-11,Haight Ashbury,Apartment,$600.00,219000.0
195,2015-11,Haight Ashbury,Apartment,$220.00,80300.0
196,2015-11,Haight Ashbury,Apartment,$360.00,131400.0
197,2015-11,Haight Ashbury,Apartment,$179.00,65335.0
198,2015-11,Haight Ashbury,Apartment,$319.00,116435.0
199,2015-11,Haight Ashbury,Apartment,$299.00,109135.0
200,2015-11,Haight Ashbury,Apartment,$145.00,52925.0
201,2015-11,Haight Ashbury,Apartment,$223.00,81395.0
202,2015-11,Haight Ashbury,Apartment,$165.00,60225.0
203,2015-11,Haight Ashbury,Apartment,$205.00,74825.0
204,2015-11,Haight Ashbury,House,$250.00,91250.0
205,2015-11,Haight Ashbury,Apartment,$79.00,28835.0
206,2015-11,Haight Ashbury,Apartment,$99.00,36135.0
207,2015-11,Haight Ashbury,Apartment,$300.00,109500.0
208,2015-11,Haight Ashbury,House,$90.00,32850.0
209,2015-11,Haight Ashbury,Apartment,$650.00,237250.0
210,2015-11,Haight Ashbury,Apartment,$220.00,80300.0
211,2015-11,Haight Ashbury,House,$220.00,80300.0
212,2015-11,Haight Ashbury,House,$185.00,67525.0
213,2015-11,Haight Ashbury,House,$215.00,78475.0
214,2015-11,Haight Ashbury,House,$245.00,89425.0
215,2015-11,Haight Ashbury,Apartment,$145.00,52925.0
216,2015-11,Haight Ashbury,House,$130.00,47450.0
217,2015-11,Haight Ashbury,Apartment,$89.00,32485.0
218,2015-11,Haight Ashbury,Apartment,$98.00,35770.0
219,2015-11,Haight Ashbury,Apartment,$80.00,29200.0
220,2015-11,Haight Ashbury,Apartment,$189.00,68985.0
221,2015-11,Haight Ashbury,House,$40.00,14600.0
222,2015-11,Haight Ashbury,Apartment,$100.00,36500.0
223,2015-11,Haight Ashbury,Bed & Breakfast,$145.00,52925.0
224,2015-11,Haight Ashbury,Apartment,$155.00,56575.0
225,2015-11,Haight Ashbury,House,$99.00,36135.0
226,2015-11,Haight Ashbury,Apartment,$300.00,109500.0
227,2015-11,Haight Ashbury,Apartment,$350.00,127750.0
228,2015-11,Haight Ashbury,Townhouse,$140.00,51100.0
229,2015-11,Haight Ashbury,Apartment,$300.00,109500.0
230,2015-11,Haight Ashbury,Apartment,$350.00,127750.0
231,2015-11,Haight Ashbury,Apartment,$175.00,63875.0
232,2015-11,Haight Ashbury,Apartment,$189.00,68985.0
233,2015-11,Haight Ashbury,House,$200.00,73000.0
234,2015-11,Haight Ashbury,Apartment,$120.00,43800.0
235,2015-11,Haight Ashbury,House,$220.00,80300.0
236,2015-11,Haight Ashbury,Apartment,$200.00,73000.0
237,2015-11,Haight Ashbury,House,$40.00,14600.0
238,2015-11,Haight Ashbury,House,$50.00,18250.0
239,2015-11,Haight Ashbury,House,$40.00,14600.0
240,2015-11,Haight Ashbury,House,$50.00,18250.0
241,2015-11,Haight Ashbury,Condominium,$300.00,109500.0
242,2015-11,Haight Ashbury,Apartment,$300.00,109500.0
243,2015-11,Haight Ashbury,Apartment,$115.00,41975.0
244,2015-11,Haight Ashbury,Bed & Breakfast,$125.00,45625.0
245,2015-11,Haight Ashbury,Apartment,$175.00,63875.0
246,2015-11,Haight Ashbury,Apartment,$106.00,38690.0
247,2015-11,Haight Ashbury,Apartment,$325.00,118625.0
248,2015-11,Haight Ashbury,Apartment,$139.00,50735.0
249,2015-11,Haight Ashbury,Apartment,$185.00,67525.0
250,2015-11,Haight Ashbury,Apartment,$175.00,63875.0
251,2015-11,Haight Ashbury,Apartment,$165.00,60225.0
252,2015-11,Haight Ashbury,House,$825.00,301125.0
253,2015-11,Haight Ashbury,Condominium,$525.00,191625.0
254,2015-11,Haight Ashbury,House,"$1,199.00",437635.0
255,2015-11,Haight Ashbury,Apartment,$245.00,89425.0
256,2015-11,Haight Ashbury,Apartment,$79.00,28835.0
257,2015-11,Haight Ashbury,House,$275.00,100375.0
258,2015-11,Haight Ashbury,Apartment,$145.00,52925.0
259,2015-11,Haight Ashbury,Apartment,$400.00,146000.0
260,2015-11,Haight Ashbury,Apartment,$100.00,36500.0
261,2015-11,Haight Ashbury,Apartment,$500.00,182500.0
262,2015-11,Haight Ashbury,House,$230.00,83950.0
263,2015-11,Haight Ashbury,Apartment,$200.00,73000.0
264,2015-11,Haight Ashbury,Apartment,$499.00,182135.0
265,2015-11,Haight Ashbury,Apartment,$175.00,63875.0
266,2015-11,Haight Ashbury,House,$85.00,31025.0
267,2015-11,Haight Ashbury,Apartment,$390.00,142350.0
268,2015-11,Haight Ashbury,House,$80.00,29200.0
269,2015-11,Haight Ashbury,Apartment,$130.00,47450.0
270,2015-11,Haight Ashbury,Apartment,$90.00,32850.0
271,2015-11,Haight Ashbury,Apartment,$100.00,36500.0
272,2015-11,Haight Ashbury,House,$200.00,73000.0
273,2015-11,Haight Ashbury,House,$108.00,39420.0
274,2015-11,Haight Ashbury,Apartment,$110.00,40150.0
275,2015-11,Haight Ashbury,Apartment,$375.00,136875.0
276,2015-11,Haight Ashbury,Apartment,$175.00,63875.0
277,2015-11,Haight Ashbury,Apartment,$235.00,85775.0
278,2015-11,Haight Ashbury,House,$69.00,25185.0
279,2015-11,Haight Ashbury,Apartment,$115.00,41975.0
280,2015-11,Haight Ashbury,Apartment,$120.00,43800.0
281,2015-11,Haight Ashbury,House,$375.00,136875.0
282,2015-11,Haight Ashbury,Apartment,$250.00,91250.0
283,2015-11,Haight Ashbury,Apartment,$225.00,82125.0
284,2015-11,Haight Ashbury,House,$175.00,63875.0
285,2015-11,Haight Ashbury,House,$53.00,19345.0
286,2015-11,Haight Ashbury,Apartment,$500.00,182500.0
287,2015-11,Haight Ashbury,Apartment,$699.00,255135.0
288,2015-11,Haight Ashbury,Apartment,$90.00,32850.0
289,2015-11,Haight Ashbury,Apartment,$99.00,36135.0
290,2015-11,Haight Ashbury,Apartment,$145.00,52925.0
291,2015-11,Haight Ashbury,Apartment,$500.00,182500.0
292,2015-11,Haight Ashbury,Apartment,$200.00,73000.0
293,2015-11,Haight Ashbury,House,$50.00,18250.0
294,2015-11,Haight Ashbury,House,$120.00,43800.0
295,2015-11,Haight Ashbury,House,$102.00,37230.0
296,2015-11,Haight Ashbury,Apartment,$300.00,109500.0
297,2015-11,Haight Ashbury,Apartment,$155.00,56575.0
298,2015-11,Haight Ashbury,Apartment,$159.00,58035.0
299,2015-11,Haight Ashbury,Apartment,$150.00,54750.0
300,2015-11,Haight Ashbury,Apartment,$125.00,45625.0
301,2015-11,Haight Ashbury,Apartment,$95.00,34675.0
302,2015-11,Haight Ashbury,Apartment,$105.00,38325.0
303,2015-11,Haight Ashbury,House,$150.00,54750.0
304,2015-11,Haight Ashbury,Condominium,$775.00,282875.0
305,2015-11,Haight Ashbury,House,$180.00,65700.0
306,2015-11,Haight Ashbury,Apartment,$350.00,127750.0
307,2015-11,Haight Ashbury,Apartment,$590.00,215350.0
308,2015-11,Haight Ashbury,Apartment,$80.00,29200.0
309,2015-11,Haight Ashbury,Villa,$200.00,73000.0
310,2015-11,Haight Ashbury,Apartment,$175.00,63875.0
311,2015-11,Haight Ashbury,Apartment,$110.00,40150.0
312,2015-11,Haight Ashbury,Apartment,$90.00,32850.0
313,2015-11,Haight Ashbury,Apartment,$175.00,63875.0
314,2015-11,Haight Ashbury,House,$120.00,43800.0
315,2015-11,Haight Ashbury,Apartment,$424.00,154760.0
316,2015-11,Haight Ashbury,Apartment,$275.00,100375.0
317,2015-11,Haight Ashbury,Apartment,$159.00,58035.0
318,2015-11,Haight Ashbury,Apartment,$650.00,237250.0
319,2015-11,Haight Ashbury,Apartment,$190.00,69350.0
320,2015-11,Haight Ashbury,House,$559.00,204035.0
321,2015-11,Haight Ashbury,House,$150.00,54750.0
322,2015-11,Haight Ashbury,Apartment,$250.00,91250.0
323,2015-11,Haight Ashbury,Apartment,$120.00,43800.0
324,2015-11,Haight Ashbury,Apartment,$69.00,25185.0
325,2015-11,Haight Ashbury,House,$40.00,14600.0
326,2015-11,Haight Ashbury,House,$95.00,34675.0
327,2015-11,Haight Ashbury,Apartment,$249.00,90885.0
328,2015-11,Haight Ashbury,House,$139.00,50735.0
329,2015-11,Haight Ashbury,House,$495.00,180675.0
330,2015-11,Haight Ashbury,House,$150.00,54750.0
331,2015-11,Haight Ashbury,House,$75.00,27375.0
332,2015-11,Haight Ashbury,Apartment,$125.00,45625.0
333,2015-11,Haight Ashbury,Apartment,$140.00,51100.0
334,2015-11,Haight Ashbury,Apartment,$120.00,43800.0
335,2015-11,Haight Ashbury,Apartment,$175.00,63875.0
336,2015-11,Haight Ashbury,Apartment,$99.00,36135.0
337,2015-11,Haight Ashbury,Apartment,$170.00,62050.0
338,2015-11,Haight Ashbury,House,$199.00,72635.0
339,2015-11,Haight Ashbury,Apartment,$185.00,67525.0
340,2015-11,Haight Ashbury,Apartment,$450.00,164250.0
341,2015-11,Haight Ashbury,Apartment,$145.00,52925.0
342,2015-11,Haight Ashbury,Apartment,$130.00,47450.0
343,2015-11,Haight Ashbury,House,$50.00,18250.0
344,2015-11,Haight Ashbury,Apartment,$107.00,39055.0
345,2015-11,Haight Ashbury,House,$120.00,43800.0
346,2015-11,Haight Ashbury,Apartment,$164.00,59860.0
347,2015-11,Haight Ashbury,Apartment,$190.00,69350.0
348,2015-11,Haight Ashbury,Apartment,$100.00,36500.0
349,2015-11,Haight Ashbury,Apartment,$135.00,49275.0
350,2015-11,Haight Ashbury,Apartment,$150.00,54750.0
351,2015-11,Haight Ashbury,House,$85.00,31025.0
352,2015-11,Haight Ashbury,Apartment,$110.00,40150.0
353,2015-11,Haight Ashbury,Apartment,$119.00,43435.0
354,2015-11,Haight Ashbury,House,"$1,500.00",547500.0
355,2015-11,Haight Ashbury,Apartment,$92.00,33580.0
356,2015-11,Haight Ashbury,Apartment,$400.00,146000.0
357,2015-11,Haight Ashbury,Apartment,$169.00,61685.0
358,2015-11,Haight Ashbury,House,$300.00,109500.0
359,2015-11,Haight Ashbury,Apartment,$160.00,58400.0
360,2015-11,Haight Ashbury,Apartment,$260.00,94900.0
361,2015-11,Haight Ashbury,Apartment,$183.00,66795.0
362,2015-11,Haight Ashbury,Apartment,$69.00,25185.0
363,2015-11,Haight Ashbury,Apartment,$295.00,107675.0
364,2015-11,Haight Ashbury,Apartment,$250.00,91250.0
365,2015-11,Haight Ashbury,Apartment,$116.00,42340.0
366,2015-11,Haight Ashbury,Apartment,$153.00,55845.0
367,2015-11,Haight Ashbury,Apartment,$180.00,65700.0
368,2015-11,Haight Ashbury,Apartment,$207.00,75555.0
369,2015-11,Haight Ashbury,Apartment,$124.00,45260.0
370,2015-11,Haight Ashbury,Apartment,$170.00,62050.0
371,2015-11,Haight Ashbury,House,$525.00,191625.0
372,2015-11,Haight Ashbury,Apartment,$399.00,145635.0
373,2015-11,Haight Ashbury,Apartment,$500.00,182500.0
374,2015-11,Haight Ashbury,Apartment,$240.00,87600.0
375,2015-11,Haight Ashbury,Condominium,$160.00,58400.0
376,2015-11,Haight Ashbury,Apartment,$630.00,229950.0
377,2015-11,Haight Ashbury,Apartment,$235.00,85775.0
378,2015-11,Haight Ashbury,House,$75.00,27375.0
379,2015-11,Haight Ashbury,House,$550.00,200750.0
380,2015-11,Haight Ashbury,House,$200.00,73000.0
381,2015-11,Haight Ashbury,Apartment,$110.00,40150.0
382,2015-11,Haight Ashbury,Apartment,$159.00,58035.0
383,2015-11,Haight Ashbury,Condominium,$94.00,34310.0
384,2015-11,Haight Ashbury,Apartment,$275.00,100375.0
385,2015-11,Haight Ashbury,Condominium,$400.00,146000.0
386,2015-11,Haight Ashbury,Apartment,$145.00,52925.0
387,2015-11,Haight Ashbury,Apartment,$400.00,146000.0
388,2015-11,Haight Ashbury,House,$69.00,25185.0
389,2015-11,Haight Ashbury,Apartment,$349.00,127385.0
390,2015-11,Haight Ashbury,House,$125.00,45625.0
391,2015-11,Haight Ashbury,Apartment,$150.00,54750.0
392,2015-11,Haight Ashbury,Apartment,$100.00,36500.0
393,2015-11,Haight Ashbury,Apartment,$389.00,141985.0
394,2015-11,Haight Ashbury,Apartment,$125.00,45625.0
395,2015-11,Haight Ashbury,Apartment,$150.00,54750.0
396,2015-11,Haight Ashbury,Apartment,$150.00,54750.0
397,2015-11,Haight Ashbury,Apartment,$165.00,60225.0
398,2015-11,Haight Ashbury,House,$285.00,104025.0
399,2015-11,Haight Ashbury,Apartment,$275.00,100375.0
400,2015-11,Haight Ashbury,Apartment,$75.00,27375.0
401,2015-11,Haight Ashbury,Condominium,$150.00,54750.0
402,2015-11,Haight Ashbury,Apartment,$125.00,45625.0
403,2015-11,Haight Ashbury,Apartment,$89.00,32485.0
404,2015-11,Haight Ashbury,Apartment,$450.00,164250.0
405,2015-11,Haight Ashbury,Apartment,$150.00,54750.0
406,2015-11,Haight Ashbury,Apartment,$630.00,229950.0
407,2015-11,Outer Mission,House,$125.00,45625.0
408,2015-11,Outer Mission,Apartment,$132.00,48180.0
409,2015-11,Outer Mission,Apartment,$200.00,73000.0
410,2015-11,Outer Mission,House,$239.00,87235.0
411,2015-11,Outer Mission,Apartment,$250.00,91250.0
412,2015-11,Outer Mission,House,$250.00,91250.0
413,2015-11,Outer Mission,Apartment,$250.00,91250.0
414,2015-11,Outer Mission,Apartment,$139.00,50735.0
415,2015-11,Outer Mission,House,$85.00,31025.0
416,2015-11,Outer Mission,Other,$75.00,27375.0
417,2015-11,Outer Mission,House,$70.00,25550.0
418,2015-11,Outer Mission,House,$79.00,28835.0
419,2015-11,Outer Mission,House,$81.00,29565.0
420,2015-11,Outer Mission,House,$145.00,52925.0
421,2015-11,Outer Mission,Apartment,$109.00,39785.0
422,2015-11,Outer Mission,Other,$110.00,40150.0
423,2015-11,Outer Mission,Apartment,$210.00,76650.0
424,2015-11,Outer Mission,House,"$1,400.00",511000.0
425,2015-11,Outer Mission,Apartment,$50.00,18250.0
426,2015-11,Outer Mission,Apartment,$130.00,47450.0
427,2015-11,Outer Mission,House,$120.00,43800.0
428,2015-11,Outer Mission,House,$127.00,46355.0
429,2015-11,Outer Mission,House,$129.00,47085.0
430,2015-11,Outer Mission,House,$220.00,80300.0
431,2015-11,Outer Mission,House,$299.00,109135.0
432,2015-11,Outer Mission,House,$200.00,73000.0
433,2015-11,Outer Mission,House,$175.00,63875.0
434,2015-11,Outer Mission,House,$200.00,73000.0
435,2015-11,Outer Mission,House,$299.00,109135.0
436,2015-11,Outer Mission,House,$85.00,31025.0
437,2015-11,Outer Mission,House,$175.00,63875.0
438,2015-11,Outer Mission,Apartment,$200.00,73000.0
439,2015-11,Outer Mission,House,$99.00,36135.0
440,2015-11,Outer Mission,House,$295.00,107675.0
441,2015-11,Outer Mission,House,$325.00,118625.0
442,2015-11,Outer Mission,House,$90.00,32850.0
443,2015-11,Outer Mission,House,$80.00,29200.0
444,2015-11,Outer Mission,Apartment,$99.00,36135.0
445,2015-11,Outer Mission,House,$300.00,109500.0
446,2015-11,Outer Mission,Apartment,$85.00,31025.0
447,2015-11,Outer Mission,House,$375.00,136875.0
448,2015-11,Outer Mission,House,$90.00,32850.0
449,2015-11,Outer Mission,Apartment,$149.00,54385.0
450,2015-11,Outer Mission,House,$119.00,43435.0
451,2015-11,Outer Mission,Apartment,$45.00,16425.0
452,2015-11,Outer Mission,House,$65.00,23725.0
453,2015-11,Outer Mission,House,$85.00,31025.0
454,2015-11,Outer Mission,House,$240.00,87600.0
455,2015-11,Outer Mission,House,$65.00,23725.0
456,2015-11,Outer Mission,Apartment,$80.00,29200.0
457,2015-11,Outer Mission,House,$85.00,31025.0
458,2015-11,Outer Mission,House,$100.00,36500.0
459,2015-11,Outer Mission,House,$145.00,52925.0
460,2015-11,Outer Mission,House,$100.00,36500.0
461,2015-11,Outer Mission,Apartment,$48.00,17520.0
462,2015-11,Outer Mission,Apartment,$250.00,91250.0
463,2015-11,Outer Mission,Apartment,$100.00,36500.0
464,2015-11,Outer Mission,House,$135.00,49275.0
465,2015-11,Outer Mission,House,$400.00,146000.0
466,2015-11,Outer Mission,House,$175.00,63875.0
