,Assessor Neighborhood,Assessed Land Value,Closed Roll Year
108,Forest Hill Extension,265819.06,2008
109,Forest Knolls,283995.83,2008
110,Glen Park,249422.47,2008
111,Golden Gate Heights,225021.99,2008
112,Haight Ashbury,295156.81,2008
113,Hayes Valley,330275.89,2008
114,Hunters Point,136930.17,2008
115,Ingleside,149648.68,2008
116,Ingleside Heights,175069.85,2008
117,Ingleside Terrace,247797.72,2008
118,Inner Mission,279301.12,2008
119,Inner Parkside,228313.58,2008
120,Inner Richmond,274579.26,2008
121,Inner Sunset,242565.39,2008
122,Jordan Park/Laurel Heights,419160.71,2008
123,Lake --The Presidio,357013.47,2008
124,Lake Shore,282757.01,2008
125,Lakeside,262281.65,2008
126,Lone Mountain,256493.08,2008
127,Lower Pacific Heights,316623.14,2008
128,Marina,457094.16,2008
129,Merced Heights,153802.24,2008
130,Merced Manor,284403.31,2008
131,Midtown Terrace,203228.32,2008
132,Miraloma Park,232019.67,2008
133,Mission Bay,591989.78,2008
134,Mission Dolores,297949.12,2008
135,Mission Terrace,170775.17,2008
136,Monterey Heights,397707.43,2008
137,Mount Davidson Manor,242604.43,2008
138,Nob Hill,381072.73,2008
139,Noe Valley,317285.98,2008
140,North Beach,316533.1,2008
141,North Waterfront,707188.81,2008
142,Oceanview,166156.04,2008
143,Outer Mission,150308.79,2008
144,Outer Parkside,182485.13,2008
145,Outer Richmond,226697.07,2008
146,Outer Sunset,192073.07,2008
147,Pacific Heights,647567.04,2008
148,Park North,306418.81,2008
149,Parkside,194502.5,2008
150,Parnassus/Ashbury Heights,366420.67,2008
151,Pine Lake Park,244227.2,2008
152,Portola,152173.85,2008
153,Potrero Hill,279777.89,2008
154,Presidio Heights,886748.94,2008
155,Russian Hill,286934.52,2008
156,Sea Cliff,791171.71,2008
157,Sherwood Forest,301015.11,2008
158,Silver Terrace,123480.84,2008
159,South Beach,519755.21,2008
160,South of Market,450773.3,2008
161,St. Francis Wood,535346.77,2008
162,Stonestown,1169639.29,2008
163,Sunnyside,189017.78,2008
164,Telegraph Hill,380847.16,2008
165,Twin Peaks,270375.06,2008
166,Union Square,532121.03,2008
167,Van Ness/ Civic Center,282707.31,2008
168,Visitacion Valley,139737.34,2008
169,West Portal,278734.87,2008
170,Western Addition,321220.25,2008
171,Westwood Highlands,254955.66,2008
172,Westwood Park,215511.85,2008
173,Yerba Buena,172196.69,2008
174,Alamo Square,399153.26,2009
175,Anza Vista,331171.12,2009
176,Balboa Terrace,371521.19,2009
177,Bayview,210800.5,2009
178,Bayview Heights,137386.11,2009
179,Bernal Heights,217385.81,2009
180,Buena Vista Park,392689.32,2009
181,Central Richmond,261077.28,2009
182,Central Sunset,229350.29,2009
183,Clarendon Heights,424246.61,2009
184,Corona Heights,327748.9,2009
185,Cow Hollow,489572.11,2009
186,Croker Amazon,159612.87,2009
187,Diamond Heights,221040.58,2009
188,Downtown,329859.44,2009
189,Duboce Triangle,407273.82,2009
190,Eureka Valley/Dolores Heights,370905.48,2009
191,Excelsior,160484.74,2009
192,Financial District North,3321722.27,2009
193,Financial District South,1350745.09,2009
194,Forest Hill,365838.64,2009
195,Forest Hill Extension,281964.05,2009
196,Forest Knolls,301677.92,2009
197,Glen Park,260265.17,2009
198,Golden Gate Heights,234461.03,2009
199,Haight Ashbury,317740.49,2009
200,Hayes Valley,347530.62,2009
201,Hunters Point,166666.21,2009
202,Ingleside,154299.36,2009
203,Ingleside Heights,171700.5,2009
204,Ingleside Terrace,264000.65,2009
205,Inner Mission,295459.74,2009
206,Inner Parkside,242108.95,2009
207,Inner Richmond,295527.58,2009
208,Inner Sunset,258011.28,2009
209,Jordan Park/Laurel Heights,430675.45,2009
210,Lake --The Presidio,386006.08,2009
211,Lake Shore,295040.14,2009
212,Lakeside,270766.71,2009
213,Lone Mountain,272615.46,2009
214,Lower Pacific Heights,341782.36,2009
215,Marina,498067.83,2009
216,Merced Heights,156488.13,2009
217,Merced Manor,295937.62,2009
218,Midtown Terrace,215654.79,2009
219,Miraloma Park,243384.6,2009
220,Mission Bay,618096.25,2009
221,Mission Dolores,316693.0,2009
222,Mission Terrace,176389.65,2009
223,Monterey Heights,419412.04,2009
224,Mount Davidson Manor,257281.89,2009
225,Nob Hill,402595.68,2009
226,Noe Valley,342367.36,2009
227,North Beach,349707.21,2009
228,North Waterfront,673014.76,2009
229,Oceanview,165018.15,2009
230,Outer Mission,154681.91,2009
231,Outer Parkside,185885.52,2009
232,Outer Richmond,236918.85,2009
233,Outer Sunset,201376.15,2009
234,Pacific Heights,693188.96,2009
235,Park North,325190.52,2009
236,Parkside,203377.93,2009
237,Parnassus/Ashbury Heights,392515.6,2009
238,Pine Lake Park,257585.44,2009
239,Portola,155749.22,2009
240,Potrero Hill,310853.95,2009
241,Presidio Heights,958527.87,2009
242,Russian Hill,312950.16,2009
243,Sea Cliff,858878.02,2009
244,Sherwood Forest,314780.29,2009
245,Silver Terrace,124076.45,2009
246,South Beach,661864.67,2009
247,South of Market,543667.98,2009
248,St. Francis Wood,567791.86,2009
249,Stonestown,1899612.61,2009
250,Sunnyside,196821.36,2009
251,Telegraph Hill,411068.81,2009
252,Twin Peaks,283320.45,2009
253,Union Square,618702.38,2009
254,Van Ness/ Civic Center,301350.33,2009
255,Visitacion Valley,140164.09,2009
256,West Portal,294088.11,2009
257,Western Addition,339620.41,2009
258,Westwood Highlands,287138.48,2009
259,Westwood Park,227212.36,2009
260,Yerba Buena,178255.38,2009
261,Alamo Square,411813.43,2010
262,Anza Vista,350678.72,2010
263,Balboa Terrace,371658.38,2010
264,Bayview,214896.32,2010
265,Bayview Heights,139407.96,2010
266,Bernal Heights,220154.3,2010
267,Buena Vista Park,401270.1,2010
268,Central Richmond,270760.81,2010
269,Central Sunset,231694.29,2010
270,Clarendon Heights,433242.01,2010
271,Corona Heights,338444.62,2010
272,Cow Hollow,511956.44,2010
273,Croker Amazon,160064.22,2010
274,Diamond Heights,223258.8,2010
275,Downtown,334514.25,2010
276,Duboce Triangle,428566.88,2010
277,Eureka Valley/Dolores Heights,385126.48,2010
278,Excelsior,159672.21,2010
279,Financial District North,3586261.66,2010
280,Financial District South,1242563.17,2010
281,Forest Hill,366116.14,2010
282,Forest Hill Extension,279838.18,2010
283,Forest Knolls,317105.13,2010
284,Glen Park,270315.26,2010
285,Golden Gate Heights,245102.97,2010
286,Haight Ashbury,335199.88,2010
287,Hayes Valley,361103.69,2010
288,Hunters Point,172047.36,2010
289,Ingleside,156702.11,2010
290,Ingleside Heights,171375.5,2010
291,Ingleside Terrace,266893.78,2010
292,Inner Mission,288617.15,2010
293,Inner Parkside,246238.33,2010
294,Inner Richmond,306209.47,2010
295,Inner Sunset,262581.12,2010
296,Jordan Park/Laurel Heights,444982.12,2010
297,Lake --The Presidio,393346.17,2010
298,Lake Shore,308142.32,2010
299,Lakeside,276278.61,2010
300,Lone Mountain,284241.26,2010
301,Lower Pacific Heights,355503.08,2010
302,Marina,510889.51,2010
303,Merced Heights,159253.38,2010
304,Merced Manor,296794.98,2010
305,Midtown Terrace,219231.61,2010
306,Miraloma Park,246630.28,2010
307,Mission Bay,693428.79,2010
308,Mission Dolores,322162.69,2010
309,Mission Terrace,179774.67,2010
310,Monterey Heights,426595.62,2010
311,Mount Davidson Manor,260163.49,2010
312,Nob Hill,427523.71,2010
313,Noe Valley,345398.42,2010
314,North Beach,356840.89,2010
315,North Waterfront,734617.96,2010
316,Oceanview,168846.56,2010
317,Outer Mission,156160.6,2010
318,Outer Parkside,189219.34,2010
319,Outer Richmond,242923.52,2010
320,Outer Sunset,201543.47,2010
321,Pacific Heights,713056.96,2010
322,Park North,345554.79,2010
323,Parkside,207819.33,2010
324,Parnassus/Ashbury Heights,402069.69,2010
325,Pine Lake Park,251391.86,2010
326,Portola,156705.71,2010
327,Potrero Hill,300785.59,2010
328,Presidio Heights,987963.93,2010
329,Russian Hill,322715.01,2010
330,Sea Cliff,888094.77,2010
331,Sherwood Forest,323167.99,2010
332,Silver Terrace,129203.81,2010
333,South Beach,739828.53,2010
334,South of Market,566661.27,2010
335,St. Francis Wood,574521.27,2010
336,Stonestown,2184518.56,2010
337,Sunnyside,197144.07,2010
338,Telegraph Hill,430090.53,2010
339,Twin Peaks,296460.17,2010
340,Union Square,711735.0,2010
341,Van Ness/ Civic Center,306300.71,2010
342,Visitacion Valley,140067.1,2010
343,West Portal,310061.32,2010
344,Western Addition,342646.65,2010
345,Westwood Highlands,295258.03,2010
346,Westwood Park,225447.72,2010
347,Yerba Buena,184776.83,2010
348,Alamo Square,425384.56,2011
349,Anza Vista,362450.26,2011
350,Balboa Terrace,393022.9,2011
351,Bayview,224548.1,2011
352,Bayview Heights,140004.23,2011
353,Bernal Heights,228865.78,2011
354,Buena Vista Park,422857.42,2011
355,Central Richmond,278255.26,2011
356,Central Sunset,242241.72,2011
357,Clarendon Heights,456422.87,2011
358,Corona Heights,342979.05,2011
359,Cow Hollow,518223.26,2011
360,Croker Amazon,168466.08,2011
361,Diamond Heights,232622.33,2011
362,Downtown,339773.11,2011
363,Duboce Triangle,442492.52,2011
364,Eureka Valley/Dolores Heights,398960.09,2011
365,Excelsior,169683.12,2011
366,Financial District North,3566222.63,2011
367,Financial District South,1270051.41,2011
368,Forest Hill,381578.41,2011
369,Forest Hill Extension,291988.18,2011
370,Forest Knolls,333460.06,2011
371,Glen Park,278990.88,2011
372,Golden Gate Heights,254303.98,2011
373,Haight Ashbury,349530.71,2011
374,Hayes Valley,372836.37,2011
375,Hunters Point,162523.09,2011
376,Ingleside,161518.36,2011
377,Ingleside Heights,163219.45,2011
378,Ingleside Terrace,275703.45,2011
379,Inner Mission,300062.9,2011
380,Inner Parkside,255986.59,2011
381,Inner Richmond,315388.54,2011
382,Inner Sunset,270334.83,2011
383,Jordan Park/Laurel Heights,454561.26,2011
384,Lake --The Presidio,407700.72,2011
385,Lone Mountain,294906.83,2011
386,Lower Pacific Heights,363644.66,2011
387,Marina,522087.53,2011
388,Merced Heights,162933.54,2011
389,Midtown Terrace,233368.42,2011
390,Miraloma Park,255138.6,2011
391,Mission Bay,604300.25,2011
392,Mission Dolores,332193.75,2011
393,Mission Terrace,188918.27,2011
394,Monterey Heights,440236.25,2011
395,Mount Davidson Manor,269055.29,2011
396,Nob Hill,435408.84,2011
397,Noe Valley,364676.21,2011
398,North Beach,352989.81,2011
399,North Waterfront,867270.21,2011
400,Oceanview,176591.45,2011
401,Outer Mission,174518.42,2011
402,Outer Parkside,200333.13,2011
403,Outer Richmond,253223.89,2011
404,Outer Sunset,210995.78,2011
405,Pacific Heights,738431.55,2011
406,Park North,354035.77,2011
407,Parkside,217655.79,2011
408,Parnassus/Ashbury Heights,428542.73,2011
409,Pine Lake Park,266974.61,2011
410,Portola,167100.04,2011
411,Potrero Hill,291831.76,2011
412,Presidio Heights,1038974.8,2011
413,Russian Hill,333741.91,2011
414,Sea Cliff,939279.71,2011
415,Sherwood Forest,331769.15,2011
416,Silver Terrace,136227.09,2011
417,South Beach,746173.03,2011
418,South of Market,573793.12,2011
419,St. Francis Wood,600297.2,2011
420,Sunnyside,204617.6,2011
421,Telegraph Hill,442675.5,2011
422,Twin Peaks,304505.2,2011
423,Union Square,755933.36,2011
424,Van Ness/ Civic Center,312972.33,2011
425,Visitacion Valley,145537.01,2011
426,West Portal,323719.29,2011
427,Western Addition,344112.74,2011
428,Westwood Highlands,310131.0,2011
429,Westwood Park,232168.28,2011
430,Yerba Buena,195626.99,2011
431,Alamo Square,446702.26,2012
432,Anza Vista,372775.98,2012
433,Balboa Terrace,401177.14,2012
434,Bayview,221454.84,2012
435,Bayview Heights,153046.91,2012
436,Bernal Heights,241607.2,2012
437,Buena Vista Park,443629.31,2012
438,Central Richmond,289221.39,2012
439,Central Sunset,251350.2,2012
440,Clarendon Heights,489603.7,2012
441,Corona Heights,364459.86,2012
442,Cow Hollow,560901.83,2012
443,Croker Amazon,171720.42,2012
444,Diamond Heights,238336.8,2012
445,Downtown,356802.42,2012
446,Duboce Triangle,474638.96,2012
447,Eureka Valley/Dolores Heights,430914.66,2012
448,Excelsior,171672.85,2012
449,Financial District North,3580405.38,2012
450,Financial District South,1381463.65,2012
451,Forest Hill,401326.06,2012
452,Forest Hill Extension,306590.05,2012
453,Forest Knolls,352654.77,2012
454,Glen Park,293963.95,2012
455,Golden Gate Heights,265229.51,2012
456,Haight Ashbury,364659.51,2012
457,Hayes Valley,393870.33,2012
458,Hunters Point,158955.0,2012
459,Ingleside,169398.52,2012
460,Ingleside Heights,177093.01,2012
461,Ingleside Terrace,285441.25,2012
462,Inner Mission,320337.6,2012
463,Inner Parkside,271064.9,2012
464,Inner Richmond,329123.87,2012
465,Inner Sunset,285141.79,2012
466,Jordan Park/Laurel Heights,485665.34,2012
467,Lake --The Presidio,422759.67,2012
468,Lake Shore,336250.24,2012
469,Lakeside,304480.96,2012
470,Lone Mountain,302922.16,2012
471,Lower Pacific Heights,387242.36,2012
472,Marina,551994.84,2012
473,Merced Heights,175564.29,2012
474,Merced Manor,328151.0,2012
475,Midtown Terrace,244991.57,2012
476,Miraloma Park,266743.22,2012
477,Mission Bay,674416.18,2012
478,Mission Dolores,350268.41,2012
479,Mission Terrace,199253.63,2012
480,Monterey Heights,452056.34,2012
481,Mount Davidson Manor,277229.43,2012
482,Nob Hill,466587.29,2012
483,Noe Valley,384978.46,2012
484,North Beach,375693.36,2012
485,North Waterfront,791237.89,2012
486,Oceanview,175341.38,2012
487,Outer Mission,168127.78,2012
488,Outer Parkside,207243.84,2012
489,Outer Richmond,263672.17,2012
490,Outer Sunset,214753.95,2012
491,Pacific Heights,792592.64,2012
492,Park North,369119.69,2012
493,Parkside,227681.82,2012
494,Parnassus/Ashbury Heights,456416.37,2012
495,Pine Lake Park,287848.01,2012
496,Portola,173653.94,2012
497,Potrero Hill,341400.18,2012
498,Presidio Heights,1092905.9,2012
499,Russian Hill,352595.92,2012
500,Sea Cliff,992049.91,2012
501,Sherwood Forest,343694.55,2012
502,Silver Terrace,141235.42,2012
503,South Beach,766689.3,2012
504,South of Market,598292.01,2012
505,St. Francis Wood,625627.25,2012
506,Stonestown,2245683.78,2012
507,Sunnyside,216828.88,2012
508,Telegraph Hill,464993.85,2012
509,Twin Peaks,319378.85,2012
510,Union Square,771242.22,2012
511,Van Ness/ Civic Center,331729.16,2012
512,Visitacion Valley,148580.24,2012
513,West Portal,342312.01,2012
514,Western Addition,353161.26,2012
515,Westwood Highlands,320309.28,2012
516,Westwood Park,248945.33,2012
517,Yerba Buena,204959.31,2012
518,Alamo Square,464920.93,2013
519,Anza Vista,368467.2,2013
520,Balboa Terrace,402963.65,2013
521,Bayview,233151.56,2013
522,Bayview Heights,158902.98,2013
523,Bernal Heights,252609.86,2013
524,Buena Vista Park,474521.28,2013
525,Central Richmond,300168.78,2013
526,Central Sunset,258710.61,2013
527,Clarendon Heights,517453.59,2013
528,Corona Heights,379856.65,2013
529,Cow Hollow,598064.84,2013
530,Croker Amazon,182032.94,2013
531,Diamond Heights,248897.21,2013
532,Downtown,387340.0,2013
533,Duboce Triangle,478395.16,2013
534,Eureka Valley/Dolores Heights,449594.4,2013
535,Excelsior,176756.57,2013
536,Financial District North,3690577.37,2013
537,Financial District South,1416785.39,2013
538,Forest Hill,412892.19,2013
539,Forest Hill Extension,318825.55,2013
540,Forest Knolls,368382.4,2013
541,Glen Park,306351.15,2013
542,Golden Gate Heights,277620.47,2013
543,Haight Ashbury,381530.17,2013
544,Hayes Valley,407516.05,2013
545,Hunters Point,154556.68,2013
546,Ingleside,175828.53,2013
547,Ingleside Heights,178849.66,2013
548,Ingleside Terrace,299835.2,2013
549,Inner Mission,343919.44,2013
550,Inner Parkside,277783.52,2013
551,Inner Richmond,341393.61,2013
552,Inner Sunset,298541.0,2013
553,Jordan Park/Laurel Heights,508941.63,2013
554,Lake --The Presidio,438877.5,2013
555,Lake Shore,344243.17,2013
556,Lakeside,316846.58,2013
557,Lone Mountain,316340.92,2013
558,Lower Pacific Heights,405723.49,2013
559,Marina,575636.18,2013
560,Merced Heights,178151.47,2013
561,Merced Manor,337691.75,2013
562,Midtown Terrace,258931.24,2013
563,Miraloma Park,277421.58,2013
564,Mission Bay,699480.22,2013
565,Mission Dolores,356998.36,2013
566,Mission Terrace,202730.81,2013
567,Monterey Heights,474912.95,2013
568,Mount Davidson Manor,287712.97,2013
569,Nob Hill,492819.94,2013
570,Noe Valley,408274.71,2013
571,North Beach,406872.94,2013
572,North Waterfront,840680.37,2013
573,Oceanview,177657.86,2013
574,Outer Mission,171285.49,2013
575,Outer Parkside,209334.66,2013
576,Outer Richmond,275531.74,2013
577,Outer Sunset,220932.82,2013
578,Pacific Heights,852976.26,2013
579,Park North,385701.72,2013
580,Parkside,231496.79,2013
581,Parnassus/Ashbury Heights,478013.31,2013
582,Pine Lake Park,292619.43,2013
583,Portola,177071.85,2013
584,Potrero Hill,361447.08,2013
585,Presidio Heights,1179676.28,2013
586,Russian Hill,374482.09,2013
587,Sea Cliff,1057670.33,2013
588,Sherwood Forest,358473.64,2013
589,Silver Terrace,145892.12,2013
590,South Beach,810870.51,2013
591,South of Market,635932.49,2013
592,St. Francis Wood,646705.53,2013
593,Stonestown,2310281.2,2013
594,Sunnyside,219875.82,2013
595,Telegraph Hill,482132.02,2013
596,Twin Peaks,345300.06,2013
597,Union Square,799244.69,2013
598,Van Ness/ Civic Center,364047.24,2013
599,Visitacion Valley,155854.13,2013
600,West Portal,354054.91,2013
601,Western Addition,357961.34,2013
602,Westwood Highlands,329153.0,2013
603,Westwood Park,254389.3,2013
604,Yerba Buena,215992.11,2013
605,Alamo Square,480889.72,2014
606,Anza Vista,395748.79,2014
607,Balboa Terrace,438819.94,2014
608,Bayview,242111.96,2014
609,Bayview Heights,161086.66,2014
610,Bernal Heights,270243.42,2014
611,Buena Vista Park,497350.77,2014
612,Central Richmond,314233.55,2014
613,Central Sunset,270496.49,2014
614,Clarendon Heights,535623.6,2014
615,Corona Heights,403671.12,2014
616,Cow Hollow,627728.74,2014
617,Croker Amazon,193343.09,2014
618,Diamond Heights,262487.85,2014
619,Downtown,413642.96,2014
620,Duboce Triangle,471015.68,2014
621,Eureka Valley/Dolores Heights,469630.44,2014
622,Excelsior,187218.61,2014
623,Financial District North,3736700.12,2014
624,Financial District South,1617034.73,2014
625,Forest Hill,477143.98,2014
626,Forest Hill Extension,334816.95,2014
627,Forest Knolls,386308.27,2014
628,Glen Park,325954.5,2014
629,Golden Gate Heights,299835.49,2014
630,Haight Ashbury,392435.23,2014
631,Hayes Valley,379618.81,2014
632,Hunters Point,153875.74,2014
633,Ingleside,186952.96,2014
634,Ingleside Heights,201744.63,2014
635,Ingleside Terrace,326934.77,2014
636,Inner Mission,350889.88,2014
637,Inner Parkside,295799.1,2014
638,Inner Richmond,354023.5,2014
639,Inner Sunset,313089.01,2014
640,Jordan Park/Laurel Heights,528762.84,2014
641,Lake --The Presidio,464123.52,2014
642,Lake Shore,358644.49,2014
643,Lakeside,332975.84,2014
644,Lone Mountain,329790.62,2014
645,Lower Pacific Heights,432758.58,2014
646,Marina,605052.69,2014
647,Merced Heights,194944.73,2014
648,Merced Manor,360863.38,2014
649,Midtown Terrace,264509.43,2014
650,Miraloma Park,289635.11,2014
651,Mission Bay,715110.84,2014
652,Mission Dolores,367443.79,2014
653,Mission Terrace,214961.87,2014
654,Monterey Heights,506162.45,2014
655,Mount Davidson Manor,310353.12,2014
656,Nob Hill,487947.68,2014
657,Noe Valley,426430.86,2014
658,North Beach,422114.18,2014
659,North Waterfront,898735.47,2014
660,Oceanview,196400.36,2014
661,Outer Mission,181897.07,2014
662,Outer Parkside,225900.97,2014
663,Outer Richmond,290373.72,2014
664,Outer Sunset,235402.89,2014
665,Pacific Heights,901497.22,2014
666,Park North,400093.5,2014
667,Parkside,246075.58,2014
668,Parnassus/Ashbury Heights,499086.93,2014
669,Pine Lake Park,304141.1,2014
670,Portola,189498.64,2014
671,Potrero Hill,372428.4,2014
672,Presidio Heights,1241499.11,2014
673,Russian Hill,397200.01,2014
674,Sea Cliff,1110278.74,2014
675,Sherwood Forest,379854.36,2014
676,Silver Terrace,156108.9,2014
677,South Beach,856342.58,2014
678,South of Market,678027.14,2014
679,St. Francis Wood,686724.75,2014
680,Stonestown,1693961.09,2014
681,Sunnyside,232861.3,2014
682,Telegraph Hill,504693.28,2014
683,Twin Peaks,362257.6,2014
684,Union Square,836699.96,2014
685,Van Ness/ Civic Center,371516.62,2014
686,Visitacion Valley,165360.87,2014
687,West Portal,366754.62,2014
688,Western Addition,372800.76,2014
689,Westwood Highlands,344339.63,2014
690,Westwood Park,272476.96,2014
691,Yerba Buena,229813.59,2014
692,Alamo Square,511735.19,2015
693,Anza Vista,404192.19,2015
694,Balboa Terrace,474828.22,2015
695,Bayview,258376.03,2015
696,Bayview Heights,170819.65,2015
697,Bernal Heights,292751.02,2015
698,Buena Vista Park,524772.2,2015
699,Central Richmond,335989.05,2015
700,Central Sunset,283688.21,2015
701,Clarendon Heights,570922.89,2015
702,Corona Heights,424334.14,2015
703,Cow Hollow,664017.42,2015
704,Croker Amazon,207129.02,2015
705,Diamond Heights,296746.06,2015
706,Downtown,432624.39,2015
707,Duboce Triangle,504149.78,2015
708,Eureka Valley/Dolores Heights,500993.07,2015
709,Excelsior,200538.82,2015
710,Financial District North,3872218.57,2015
711,Financial District South,1492878.83,2015
712,Forest Hill,514016.42,2015
713,Forest Hill Extension,350968.6,2015
714,Forest Knolls,436464.95,2015
715,Glen Park,356082.16,2015
716,Golden Gate Heights,317901.88,2015
717,Haight Ashbury,412984.51,2015
718,Hayes Valley,449677.97,2015
719,Hunters Point,166517.43,2015
720,Ingleside,197977.36,2015
721,Ingleside Heights,215651.08,2015
722,Ingleside Terrace,351266.29,2015
723,Inner Mission,364617.07,2015
724,Inner Parkside,318931.68,2015
725,Inner Richmond,377333.15,2015
726,Inner Sunset,328996.16,2015
727,Jordan Park/Laurel Heights,568872.29,2015
728,Lake --The Presidio,492922.73,2015
729,Lake Shore,383652.27,2015
730,Lakeside,348006.31,2015
731,Lone Mountain,357248.3,2015
732,Lower Pacific Heights,464476.04,2015
733,Marina,646166.92,2015
734,Merced Heights,204525.65,2015
735,Merced Manor,391902.7,2015
736,Midtown Terrace,281078.97,2015
737,Miraloma Park,310667.5,2015
738,Mission Bay,721135.32,2015
739,Mission Dolores,378397.83,2015
740,Mission Terrace,228188.06,2015
741,Monterey Heights,533987.75,2015
742,Mount Davidson Manor,328636.86,2015
743,Nob Hill,546256.23,2015
744,Noe Valley,459559.78,2015
745,North Beach,446399.67,2015
746,North Waterfront,953461.65,2015
747,Oceanview,211261.21,2015
748,Outer Mission,196490.75,2015
749,Outer Parkside,240141.42,2015
750,Outer Richmond,307594.6,2015
751,Outer Sunset,248604.45,2015
752,Pacific Heights,956476.88,2015
753,Park North,414896.45,2015
754,Parkside,262055.85,2015
755,Parnassus/Ashbury Heights,521576.61,2015
756,Pine Lake Park,328221.45,2015
757,Portola,206163.97,2015
758,Potrero Hill,428737.16,2015
759,Presidio Heights,1321622.24,2015
760,Russian Hill,422653.26,2015
761,Sea Cliff,1188811.17,2015
762,Sherwood Forest,402676.84,2015
763,Silver Terrace,172165.39,2015
764,South Beach,881493.13,2015
765,South of Market,718875.01,2015
766,St. Francis Wood,719641.98,2015
767,Stonestown,1446393.82,2015
768,Sunnyside,254771.76,2015
769,Telegraph Hill,530908.27,2015
770,Twin Peaks,390306.47,2015
771,Union Square,867825.09,2015
772,Van Ness/ Civic Center,397528.37,2015
773,Visitacion Valley,175324.85,2015
774,West Portal,390485.89,2015
775,Western Addition,400849.67,2015
776,Westwood Highlands,369263.39,2015
777,Westwood Park,287522.18,2015
778,Yerba Buena,251850.3,2015
779,Alamo Square,541590.72,2016
780,Anza Vista,447036.39,2016
