,Assessor Neighborhood,Closed Roll Year,Assessed Land Value,Pct Change,Region Type,Data Type,dollars
56,Financial District,2013,2553681.38,0,neighborhood,All Homes,"$2,657 "
57,Financial District,2014,2676867.426,0,neighborhood,All Homes,"$2,963 "
58,Financial District,2015,2682548.7,0,neighborhood,All Homes,"$3,539 "
59,Financial District,2016,2904879.44,0,neighborhood,All Homes,"$3,901 "
60,Forest Hill,2011,336783.2937,0,neighborhood,All Homes,"$4,228 "
61,Forest Hill,2012,353958.0553,0,neighborhood,All Homes,"$4,086 "
62,Forest Hill,2013,365858.8699,0,neighborhood,All Homes,"$4,517 "
63,Forest Hill,2014,405980.4642,0,neighborhood,All Homes,"$4,938 "
64,Forest Hill,2015,432492.5063,0,neighborhood,All Homes,"$6,549 "
65,Forest Hill,2016,464450.8924,0,neighborhood,All Homes,"$6,023 "
66,Forest Knolls,2011,333460.0551,0,neighborhood,All Homes,"$3,979 "
67,Forest Knolls,2012,352654.7662,0,neighborhood,All Homes,"$3,901 "
68,Forest Knolls,2013,368382.4049,0,neighborhood,All Homes,"$4,316 "
69,Forest Knolls,2014,386308.2738,0,neighborhood,All Homes,"$4,549 "
70,Forest Knolls,2015,436464.947,0,neighborhood,All Homes,"$5,686 "
71,Forest Knolls,2016,458681.983,0,neighborhood,All Homes,"$5,976 "
72,Glen Park,2011,278990.8786,0,neighborhood,All Homes,"$3,145 "
73,Glen Park,2012,293963.951,0,neighborhood,All Homes,"$3,270 "
74,Glen Park,2013,306351.1534,0,neighborhood,All Homes,"$3,327 "
75,Glen Park,2014,325954.5017,0,neighborhood,All Homes,"$3,851 "
76,Glen Park,2015,356082.1638,0,neighborhood,All Homes,"$5,172 "
77,Glen Park,2016,384803.5299,0,neighborhood,All Homes,"$5,117 "
78,Golden Gate Heights,2011,254303.9838,0,neighborhood,All Homes,"$3,304 "
79,Golden Gate Heights,2012,265229.5062,0,neighborhood,All Homes,"$3,250 "
80,Golden Gate Heights,2013,277620.4677,0,neighborhood,All Homes,"$3,371 "
81,Golden Gate Heights,2014,299835.4945,0,neighborhood,All Homes,"$3,779 "
82,Golden Gate Heights,2015,317901.8786,0,neighborhood,All Homes,"$4,932 "
83,Golden Gate Heights,2016,341101.3004,0,neighborhood,All Homes,"$5,163 "
84,Haight,2011,349530.7092,0,neighborhood,All Homes,"$3,296 "
85,Haight,2012,364659.515,0,neighborhood,All Homes,"$3,299 "
86,Haight,2013,381530.1707,0,neighborhood,All Homes,"$3,439 "
87,Haight,2014,392435.2274,0,neighborhood,All Homes,"$3,844 "
88,Haight,2015,412984.5051,0,neighborhood,All Homes,"$4,670 "
89,Haight,2016,440229.3614,0,neighborhood,All Homes,"$5,143 "
90,Hayes Valley,2011,372836.3652,0,neighborhood,All Homes,"$3,399 "
91,Hayes Valley,2012,393870.3295,0,neighborhood,All Homes,"$3,600 "
92,Hayes Valley,2013,407516.0491,0,neighborhood,All Homes,"$3,814 "
93,Hayes Valley,2014,379618.8083,0,neighborhood,All Homes,"$4,249 "
94,Hayes Valley,2015,449677.9712,0,neighborhood,All Homes,"$4,840 "
95,Hayes Valley,2016,471214.6869,0,neighborhood,All Homes,"$5,090 "
96,Ingleside,2011,239158.2667,0,neighborhood,All Homes,"$3,089 "
97,Ingleside,2012,248713.3163,0,neighborhood,All Homes,"$3,572 "
98,Ingleside,2013,252314.5482,0,neighborhood,All Homes,"$3,809 "
99,Ingleside,2014,273572.5437,0,neighborhood,All Homes,"$4,118 "
100,Ingleside,2015,292443.7447,0,neighborhood,All Homes,"$4,772 "
101,Ingleside,2016,312330.7976,0,neighborhood,All Homes,"$4,742 "
102,Ingleside Heights,2011,163219.4491,0,neighborhood,All Homes,"$2,507 "
103,Ingleside Heights,2012,177093.0141,0,neighborhood,All Homes,"$2,503 "
104,Ingleside Heights,2013,178849.6583,0,neighborhood,All Homes,"$2,655 "
105,Ingleside Heights,2014,201744.6323,0,neighborhood,All Homes,"$2,988 "
106,Ingleside Heights,2015,215651.0776,0,neighborhood,All Homes,"$3,629 "
107,Ingleside Heights,2016,224515.8526,0,neighborhood,All Homes,"$3,953 "
108,Ingleside Terrace,2011,275703.4462,0,neighborhood,All Homes,"$2,358 "
109,Ingleside Terrace,2012,285441.2513,0,neighborhood,All Homes,"$2,437 "
110,Ingleside Terrace,2013,299835.2011,0,neighborhood,All Homes,"$2,513 "
111,Ingleside Terrace,2014,326934.7708,0,neighborhood,All Homes,"$2,810 "
112,Ingleside Terrace,2015,351266.2936,0,neighborhood,All Homes,"$3,440 "
113,Ingleside Terrace,2016,384685.4303,0,neighborhood,All Homes,"$3,648 "
114,Inner Richmond,2011,315388.5407,0,neighborhood,All Homes,"$3,367 "
115,Inner Richmond,2012,329123.8744,0,neighborhood,All Homes,"$3,277 "
116,Inner Richmond,2013,341393.6116,0,neighborhood,All Homes,"$3,406 "
117,Inner Richmond,2014,354023.499,0,neighborhood,All Homes,"$3,890 "
118,Inner Richmond,2015,377333.1462,0,neighborhood,All Homes,"$4,858 "
119,Inner Richmond,2016,400669.6681,0,neighborhood,All Homes,"$5,384 "
120,Inner Sunset,2011,349438.7811,0,neighborhood,All Homes,"$3,415 "
121,Inner Sunset,2012,370779.0783,0,neighborhood,All Homes,"$3,540 "
122,Inner Sunset,2013,388277.1545,0,neighborhood,All Homes,"$3,727 "
123,Inner Sunset,2014,406087.9699,0,neighborhood,All Homes,"$4,389 "
124,Inner Sunset,2015,425286.3865,0,neighborhood,All Homes,"$5,311 "
125,Inner Sunset,2016,450503.3374,0,neighborhood,All Homes,"$5,515 "
126,Lake,2011,407700.7178,0,neighborhood,All Homes,"$3,118 "
127,Lake,2012,422759.6655,0,neighborhood,All Homes,"$3,138 "
128,Lake,2013,438877.499,0,neighborhood,All Homes,"$3,297 "
129,Lake,2014,464123.5151,0,neighborhood,All Homes,"$3,872 "
130,Lake,2015,492922.7314,0,neighborhood,All Homes,"$4,489 "
131,Lake,2016,525258.7667,0,neighborhood,All Homes,"$4,902 "
132,Lakeshore,2012,336250.244,0,neighborhood,All Homes,"$4,173 "
133,Lakeshore,2013,344243.1678,0,neighborhood,All Homes,"$4,484 "
134,Lakeshore,2014,358644.4914,0,neighborhood,All Homes,"$5,129 "
135,Lakeshore,2015,383652.2731,0,neighborhood,All Homes,"$6,379 "
136,Lakeshore,2016,405115.5616,0,neighborhood,All Homes,"$6,716 "
137,Laurel Heights,2011,454561.2622,0,neighborhood,All Homes,"$2,943 "
138,Laurel Heights,2012,395073.1498,0,neighborhood,All Homes,"$2,911 "
139,Laurel Heights,2013,412894.1065,0,neighborhood,All Homes,"$3,166 "
140,Laurel Heights,2014,430869.3397,0,neighborhood,All Homes,"$3,588 "
141,Laurel Heights,2015,458439.3005,0,neighborhood,All Homes,"$4,061 "
142,Laurel Heights,2016,487080.0532,0,neighborhood,All Homes,"$4,557 "
143,Lone Mountain,2011,294906.8282,0,neighborhood,All Homes,"$2,425 "
144,Lone Mountain,2012,302922.1563,0,neighborhood,All Homes,"$2,440 "
145,Lone Mountain,2013,316340.9248,0,neighborhood,All Homes,"$2,622 "
146,Lone Mountain,2014,329790.6164,0,neighborhood,All Homes,"$2,886 "
147,Lone Mountain,2015,357248.3026,0,neighborhood,All Homes,"$3,443 "
148,Lone Mountain,2016,382272.3672,0,neighborhood,All Homes,"$3,697 "
149,Lower Pacific Heights,2011,363644.6572,0,neighborhood,All Homes,"$3,326 "
150,Lower Pacific Heights,2012,387242.3637,0,neighborhood,All Homes,"$3,520 "
151,Lower Pacific Heights,2013,405723.4927,0,neighborhood,All Homes,"$3,747 "
152,Lower Pacific Heights,2014,432758.5834,0,neighborhood,All Homes,"$4,173 "
153,Lower Pacific Heights,2015,464476.0389,0,neighborhood,All Homes,"$4,863 "
154,Lower Pacific Heights,2016,467876.8123,0,neighborhood,All Homes,"$5,241 "
155,Marina,2011,522087.5285,0,neighborhood,All Homes,"$2,947 "
156,Marina,2012,551994.8401,0,neighborhood,All Homes,"$3,296 "
157,Marina,2013,575636.1819,0,neighborhood,All Homes,"$3,640 "
158,Marina,2014,605052.6869,0,neighborhood,All Homes,"$3,997 "
159,Marina,2015,646166.9172,0,neighborhood,All Homes,"$4,708 "
160,Marina,2016,682746.053,0,neighborhood,All Homes,"$4,501 "
161,Midtown Terrace,2011,233368.422,0,neighborhood,All Homes,"$4,274 "
162,Midtown Terrace,2012,244991.5694,0,neighborhood,All Homes,"$4,352 "
163,Midtown Terrace,2013,258931.2434,0,neighborhood,All Homes,"$4,700 "
164,Midtown Terrace,2014,264509.4301,0,neighborhood,All Homes,"$5,287 "
165,Midtown Terrace,2015,281078.9744,0,neighborhood,All Homes,"$6,520 "
166,Midtown Terrace,2016,301071.0631,0,neighborhood,All Homes,"$6,586 "
167,Miraloma Park,2011,255138.5987,0,neighborhood,All Homes,"$2,955 "
168,Miraloma Park,2012,266743.2154,0,neighborhood,All Homes,"$3,125 "
169,Miraloma Park,2013,277421.585,0,neighborhood,All Homes,"$3,368 "
170,Miraloma Park,2014,289635.1118,0,neighborhood,All Homes,"$3,740 "
171,Miraloma Park,2015,310667.5038,0,neighborhood,All Homes,"$4,423 "
172,Miraloma Park,2016,340174.7562,0,neighborhood,All Homes,"$4,492 "
173,Mission,2011,316128.3238,0,neighborhood,All Homes,"$3,106 "
174,Mission,2012,335303.0064,0,neighborhood,All Homes,"$3,085 "
175,Mission,2013,350458.9014,0,neighborhood,All Homes,"$3,254 "
176,Mission,2014,359166.8313,0,neighborhood,All Homes,"$3,738 "
177,Mission,2015,371507.4506,0,neighborhood,All Homes,"$4,323 "
178,Mission,2016,410590.1079,0,neighborhood,All Homes,"$4,551 "
179,Mission Bay,2011,604300.2493,0,neighborhood,All Homes,"$2,987 "
180,Mission Bay,2012,674416.1809,0,neighborhood,All Homes,"$3,342 "
181,Mission Bay,2013,699480.2239,0,neighborhood,All Homes,"$3,717 "
182,Mission Bay,2014,715110.8371,0,neighborhood,All Homes,"$3,962 "
183,Mission Bay,2015,721135.3245,0,neighborhood,All Homes,"$4,744 "
184,Mission Bay,2016,787160.1115,0,neighborhood,All Homes,"$4,620 "
185,Mission Terrace,2011,188918.267,0,neighborhood,All Homes,"$3,248 "
186,Mission Terrace,2012,199253.6315,0,neighborhood,All Homes,"$3,628 "
187,Mission Terrace,2013,202730.811,0,neighborhood,All Homes,"$4,264 "
188,Mission Terrace,2014,214961.8658,0,neighborhood,All Homes,"$4,462 "
189,Mission Terrace,2015,228188.0636,0,neighborhood,All Homes,"$5,267 "
190,Mission Terrace,2016,245679.0981,0,neighborhood,All Homes,"$5,063 "
191,Mount Davidson Manor,2011,269055.2947,0,neighborhood,All Homes,"$2,618 "
192,Mount Davidson Manor,2012,277229.4342,0,neighborhood,All Homes,"$2,630 "
193,Mount Davidson Manor,2013,287712.9671,0,neighborhood,All Homes,"$2,760 "
194,Mount Davidson Manor,2014,310353.1152,0,neighborhood,All Homes,"$3,129 "
195,Mount Davidson Manor,2015,328636.8571,0,neighborhood,All Homes,"$3,810 "
196,Mount Davidson Manor,2016,347610.4728,0,neighborhood,All Homes,"$4,196 "
197,Nob Hill,2011,435408.8353,0,neighborhood,All Homes,"$2,914 "
198,Nob Hill,2012,466587.2904,0,neighborhood,All Homes,"$2,974 "
199,Nob Hill,2013,492819.943,0,neighborhood,All Homes,"$3,072 "
200,Nob Hill,2014,487947.6774,0,neighborhood,All Homes,"$3,666 "
201,Nob Hill,2015,546256.2334,0,neighborhood,All Homes,"$4,347 "
202,Nob Hill,2016,586126.2838,0,neighborhood,All Homes,"$4,748 "
203,Noe Valley,2011,364676.2066,0,neighborhood,All Homes,"$3,526 "
204,Noe Valley,2012,384978.464,0,neighborhood,All Homes,"$3,713 "
205,Noe Valley,2013,408274.7054,0,neighborhood,All Homes,"$4,012 "
206,Noe Valley,2014,426430.8592,0,neighborhood,All Homes,"$4,242 "
207,Noe Valley,2015,459559.7818,0,neighborhood,All Homes,"$5,212 "
208,Noe Valley,2016,498960.2468,0,neighborhood,All Homes,"$5,303 "
209,North Beach,2011,352989.8129,0,neighborhood,All Homes,"$3,711 "
210,North Beach,2012,375693.3614,0,neighborhood,All Homes,"$3,729 "
211,North Beach,2013,406872.9404,0,neighborhood,All Homes,"$4,140 "
212,North Beach,2014,422114.1781,0,neighborhood,All Homes,"$4,408 "
213,North Beach,2015,446399.6728,0,neighborhood,All Homes,"$5,421 "
214,North Beach,2016,463071.9121,0,neighborhood,All Homes,"$5,557 "
215,North Waterfront,2011,867270.211,0,neighborhood,All Homes,"$3,124 "
216,North Waterfront,2012,791237.8861,0,neighborhood,All Homes,"$3,398 "
217,North Waterfront,2013,840680.3658,0,neighborhood,All Homes,"$3,915 "
218,North Waterfront,2014,898735.4734,0,neighborhood,All Homes,"$4,059 "
219,North Waterfront,2015,953461.6494,0,neighborhood,All Homes,"$4,900 "
220,North Waterfront,2016,1007685.774,0,neighborhood,All Homes,"$4,770 "
221,Oceanview,2011,176591.4539,0,neighborhood,All Homes,"$2,875 "
222,Oceanview,2012,175341.3829,0,neighborhood,All Homes,"$3,248 "
223,Oceanview,2013,177657.8646,0,neighborhood,All Homes,"$3,729 "
224,Oceanview,2014,196400.3615,0,neighborhood,All Homes,"$3,832 "
225,Oceanview,2015,211261.2053,0,neighborhood,All Homes,"$4,425 "
226,Oceanview,2016,219116.4343,0,neighborhood,All Homes,"$4,431 "
227,Outer Mission,2011,174518.417,0,neighborhood,All Homes,"$2,459 "
228,Outer Mission,2012,168127.7792,0,neighborhood,All Homes,"$2,455 "
229,Outer Mission,2013,171285.4875,0,neighborhood,All Homes,"$2,568 "
230,Outer Mission,2014,181897.072,0,neighborhood,All Homes,"$2,912 "
231,Outer Mission,2015,196490.7482,0,neighborhood,All Homes,"$3,518 "
232,Outer Mission,2016,211233.8943,0,neighborhood,All Homes,"$3,840 "
233,Outer Richmond,2011,265739.575,0,neighborhood,All Homes,"$2,513 "
234,Outer Richmond,2012,276446.7802,0,neighborhood,All Homes,"$2,481 "
235,Outer Richmond,2013,287850.2625,0,neighborhood,All Homes,"$2,698 "
236,Outer Richmond,2014,302303.6353,0,neighborhood,All Homes,"$2,895 "
237,Outer Richmond,2015,321791.8256,0,neighborhood,All Homes,"$3,603 "
238,Outer Richmond,2016,343627.0819,0,neighborhood,All Homes,"$3,914 "
239,Outer Sunset,2011,240070.7038,0,neighborhood,All Homes,"$2,769 "
240,Outer Sunset,2012,251317.3856,0,neighborhood,All Homes,"$2,858 "
241,Outer Sunset,2013,257420.9566,0,neighborhood,All Homes,"$3,169 "
242,Outer Sunset,2014,270013.493,0,neighborhood,All Homes,"$3,691 "
243,Outer Sunset,2015,286838.0345,0,neighborhood,All Homes,"$4,110 "
244,Outer Sunset,2016,304274.8313,0,neighborhood,All Homes,"$4,424 "
245,Pacific Heights,2011,738431.5547,0,neighborhood,All Homes,"$2,568 "
246,Pacific Heights,2012,792592.6364,0,neighborhood,All Homes,"$2,633 "
247,Pacific Heights,2013,852976.2592,0,neighborhood,All Homes,"$3,053 "
248,Pacific Heights,2014,901497.2196,0,neighborhood,All Homes,"$3,435 "
249,Pacific Heights,2015,956476.8806,0,neighborhood,All Homes,"$3,838 "
250,Pacific Heights,2016,987893.5624,0,neighborhood,All Homes,"$4,071 "
251,Panhandle,2011,354035.7696,0,neighborhood,All Homes,"$4,371 "
252,Panhandle,2012,369119.6914,0,neighborhood,All Homes,"$4,372 "
253,Panhandle,2013,385701.7195,0,neighborhood,All Homes,"$4,578 "
254,Panhandle,2014,400093.4951,0,neighborhood,All Homes,"$4,968 "
255,Panhandle,2015,414896.4454,0,neighborhood,All Homes,"$6,526 "
256,Panhandle,2016,440789.0982,0,neighborhood,All Homes,"$6,338 "
257,Parkside,2011,224658.5054,0,neighborhood,All Homes,"$3,104 "
258,Parkside,2012,258535.3925,0,neighborhood,All Homes,"$3,537 "
259,Parkside,2013,264076.6778,0,neighborhood,All Homes,"$3,666 "
260,Parkside,2014,282159.7596,0,neighborhood,All Homes,"$4,048 "
261,Parkside,2015,303257.9124,0,neighborhood,All Homes,"$4,695 "
262,Parkside,2016,318989.4013,0,neighborhood,All Homes,"$4,796 "
263,Portola,2011,167100.0389,0,neighborhood,All Homes,"$2,714 "
264,Portola,2012,173653.9359,0,neighborhood,All Homes,"$2,758 "
265,Portola,2013,177071.8474,0,neighborhood,All Homes,"$3,108 "
266,Portola,2014,189498.6362,0,neighborhood,All Homes,"$3,462 "
267,Portola,2015,206163.9671,0,neighborhood,All Homes,"$3,878 "
268,Portola,2016,219848.7246,0,neighborhood,All Homes,"$4,238 "
269,Potrero Hill,2011,291831.764,0,neighborhood,All Homes,"$2,591 "
270,Potrero Hill,2012,341400.1773,0,neighborhood,All Homes,"$2,534 "
271,Potrero Hill,2013,361447.0793,0,neighborhood,All Homes,"$2,683 "
272,Potrero Hill,2014,372428.4044,0,neighborhood,All Homes,"$2,995 "
273,Potrero Hill,2015,428737.1551,0,neighborhood,All Homes,"$3,611 "
274,Potrero Hill,2016,461504.522,0,neighborhood,All Homes,"$4,073 "
275,Presidio Heights,2011,1038974.801,0,neighborhood,All Homes,"$3,067 "
276,Presidio Heights,2012,1092905.902,0,neighborhood,All Homes,"$3,333 "
277,Presidio Heights,2013,1179676.281,0,neighborhood,All Homes,"$3,725 "
278,Presidio Heights,2014,1241499.113,0,neighborhood,All Homes,"$3,956 "
279,Presidio Heights,2015,1321622.24,0,neighborhood,All Homes,"$4,863 "
280,Presidio Heights,2016,1397364.253,0,neighborhood,All Homes,"$4,822 "
281,Russian Hill,2011,333741.9055,0,neighborhood,All Homes,"$10,419 "
282,Russian Hill,2012,352595.9222,0,neighborhood,All Homes,"$10,359 "
283,Russian Hill,2013,374482.0945,0,neighborhood,All Homes,"$11,516 "
284,Russian Hill,2014,397200.0119,0,neighborhood,All Homes,"$12,446 "
285,Russian Hill,2015,422653.2595,0,neighborhood,All Homes,"$15,003 "
286,Russian Hill,2016,452017.9104,0,neighborhood,All Homes,"$15,951 "
287,Seacliff,2011,939279.7143,0,neighborhood,All Homes,"$3,710 "
288,Seacliff,2012,992049.9082,0,neighborhood,All Homes,"$3,821 "
289,Seacliff,2013,1057670.331,0,neighborhood,All Homes,"$4,210 "
290,Seacliff,2014,1110278.738,0,neighborhood,All Homes,"$4,605 "
291,Seacliff,2015,1188811.174,0,neighborhood,All Homes,"$5,480 "
292,Seacliff,2016,1265560.922,0,neighborhood,All Homes,"$5,499 "
293,Silver Terrace,2011,136227.09,0,neighborhood,All Homes,"$8,213 "
294,Silver Terrace,2012,141235.4197,0,neighborhood,All Homes,"$7,961 "
295,Silver Terrace,2013,145892.1247,0,neighborhood,All Homes,"$9,073 "
296,Silver Terrace,2014,156108.903,0,neighborhood,All Homes,"$9,633 "
297,Silver Terrace,2015,172165.3945,0,neighborhood,All Homes,"$12,676 "
298,Silver Terrace,2016,180875.1939,0,neighborhood,All Homes,"$13,256 "
299,South Beach,2011,746173.0264,0,neighborhood,All Homes,"$2,498 "
300,South Beach,2012,766689.3017,0,neighborhood,All Homes,"$2,453 "
301,South Beach,2013,810870.5131,0,neighborhood,All Homes,"$2,567 "
302,South Beach,2014,856342.5791,0,neighborhood,All Homes,"$3,016 "
303,South Beach,2015,881493.1295,0,neighborhood,All Homes,"$3,526 "
304,South Beach,2016,851302.5329,0,neighborhood,All Homes,"$3,840 "
305,South of Market,2011,573793.1216,0,neighborhood,All Homes,"$3,277 "
306,South of Market,2012,598292.0061,0,neighborhood,All Homes,"$3,389 "
307,South of Market,2013,635932.4941,0,neighborhood,All Homes,"$3,996 "
308,South of Market,2014,678027.1441,0,neighborhood,All Homes,"$4,205 "
309,South of Market,2015,718875.013,0,neighborhood,All Homes,"$4,952 "
310,South of Market,2016,773699.7478,0,neighborhood,All Homes,"$4,814 "
311,St. Francis Wood,2011,600297.2011,0,neighborhood,All Homes,"$2,783 "
312,St. Francis Wood,2012,625627.2486,0,neighborhood,All Homes,"$3,112 "
313,St. Francis Wood,2013,646705.5291,0,neighborhood,All Homes,"$3,448 "
314,St. Francis Wood,2014,686724.7509,0,neighborhood,All Homes,"$3,790 "
315,St. Francis Wood,2015,719641.9783,0,neighborhood,All Homes,"$4,274 "
316,St. Francis Wood,2016,776783.9384,0,neighborhood,All Homes,"$4,232 "
317,Stonestown,2012,2245683.783,0,neighborhood,All Homes,"$5,461 "
318,Stonestown,2013,2310281.205,0,neighborhood,All Homes,"$5,706 "
319,Stonestown,2014,1693961.09,0,neighborhood,All Homes,"$5,900 "
320,Stonestown,2015,1446393.825,0,neighborhood,All Homes,"$7,930 "
321,Stonestown,2016,1553429.621,0,neighborhood,All Homes,"$8,664 "
322,Sunnyside,2011,204617.599,0,neighborhood,All Homes,"$3,220 "
323,Sunnyside,2012,216828.8838,0,neighborhood,All Homes,"$3,124 "
324,Sunnyside,2013,219875.8203,0,neighborhood,All Homes,"$3,252 "
325,Sunnyside,2014,232861.3044,0,neighborhood,All Homes,"$3,704 "
326,Sunnyside,2015,254771.7558,0,neighborhood,All Homes,"$4,506 "
327,Sunnyside,2016,271672.8542,0,neighborhood,All Homes,"$4,998 "
328,Telegraph Hill,2011,442675.5015,0,neighborhood,All Homes,"$2,639 "
329,Telegraph Hill,2012,464993.8504,0,neighborhood,All Homes,"$2,693 "
330,Telegraph Hill,2013,482132.0196,0,neighborhood,All Homes,"$2,970 "
331,Telegraph Hill,2014,504693.2805,0,neighborhood,All Homes,"$3,295 "
332,Telegraph Hill,2015,530908.2741,0,neighborhood,All Homes,"$3,845 "
333,Telegraph Hill,2016,561042.4234,0,neighborhood,All Homes,"$4,196 "
334,Twin Peaks,2011,354104.129,0,neighborhood,All Homes,"$3,314 "
335,Twin Peaks,2012,373747.2796,0,neighborhood,All Homes,"$3,314 "
336,Twin Peaks,2013,393820.5502,0,neighborhood,All Homes,"$3,544 "
337,Twin Peaks,2014,411122.5461,0,neighborhood,All Homes,"$3,882 "
338,Twin Peaks,2015,438598.0244,0,neighborhood,All Homes,"$4,927 "
339,Twin Peaks,2016,459596.458,0,neighborhood,All Homes,"$5,055 "
340,Upper Market,2011,420726.3053,0,neighborhood,All Homes,"$3,284 "
341,Upper Market,2012,452776.8115,0,neighborhood,All Homes,"$3,501 "
342,Upper Market,2013,463994.7778,0,neighborhood,All Homes,"$3,873 "
343,Upper Market,2014,470323.0603,0,neighborhood,All Homes,"$4,072 "
344,Upper Market,2015,502571.4277,0,neighborhood,All Homes,"$4,948 "
345,Upper Market,2016,535998.9714,0,neighborhood,All Homes,"$4,773 "
346,Visitacion Valley,2011,145537.0093,0,neighborhood,All Homes,"$3,091 "
347,Visitacion Valley,2012,148580.2391,0,neighborhood,All Homes,"$3,373 "
348,Visitacion Valley,2013,155854.1348,0,neighborhood,All Homes,"$3,564 "
349,Visitacion Valley,2014,165360.8658,0,neighborhood,All Homes,"$3,935 "
350,Visitacion Valley,2015,175324.8459,0,neighborhood,All Homes,"$4,682 "
351,Visitacion Valley,2016,187287.2068,0,neighborhood,All Homes,"$4,605 "
352,Western Addition,2011,377315.8519,0,neighborhood,All Homes,"$2,389 "
353,Western Addition,2012,390879.8351,0,neighborhood,All Homes,"$2,419 "
354,Western Addition,2013,397116.4866,0,neighborhood,All Homes,"$2,572 "
355,Western Addition,2014,416479.7553,0,neighborhood,All Homes,"$2,854 "
